snapshot_time: 979.6092565 yr
particle_id, particle_mass, particle_pos_x, particle_pos_y, particle_pos_z, particle_vel_x, particle_vel_y, particle_vel_z
2, 0.0002837732003, -7.891601942e+11, -1.049831901e+12, 0, 8036.26053, -6020.272415, 0
3, 4.33474424e-05, -2.603299349e+11, 2.228444176e+12, 0, -7651.081217, -929.2298183, 0
4, 5.113210577e-05, 2.871860151e+12, -3.04719736e+12, 0, 4124.100544, 3843.378679, 0
snapshot_time: 35265.93323 yr
particle_id, particle_mass, particle_pos_x, particle_pos_y, particle_pos_z, particle_vel_x, particle_vel_y, particle_vel_z
0, 0.9986739408, -120691905.9, 860545506.1, 0, -12.91980783, -2.210116951, 0
1, 0.0009478064836, -9853633833, -8.079325528e+11, 0, 12835.89423, -184.4559515, 0
2, 0.0002837732003, 1.222330775e+12, -4.331110194e+11, 0, 3434.495039, 9569.098079, 0
3, 4.33474424e-05, -3.705987098e+11, 2.212789351e+12, 0, -7595.066651, -1305.618096, 0
4, 5.113210577e-05, -3.929605625e+12, -1.303566855e+12, 0, 1786.366774, -5414.28178, 0
snapshot_time: 36245.54249 yr
particle_id, particle_mass, particle_pos_x, particle_pos_y, particle_pos_z, particle_vel_x, particle_vel_y, particle_vel_z
0, 0.9986739408, -771015700.7, -522764176.5, 0, 0.9773113663, -11.84771204, 0
1, 0.0009478064836, 7.992137204e+11, -1.597425624e+11, 0, 2671.833854, 12445.48344, 0
2, 0.0002837732003, 2.387355003e+10, 1.291853588e+12, 0, -10203.27327, 263.8116373, 0
3, 4.33474424e-05, -4.789791819e+11, 2.192443543e+12, 0, -7518.368214, -1675.355123, 0
4, 5.113210577e-05, 5.178975232e+11, 4.143106307e+12, 0, -5614.462724, 662.0315424, 0
snapshot_time: 37225.15175 yr
particle_id, particle_mass, particle_pos_x, particle_pos_y, particle_pos_z, particle_vel_x, particle_vel_y, particle_vel_z
0, 0.9986739408, -148957938.6, -543171520.5, 0, 9.953788354, -2.802075376, 0
1, 0.0009478064836, 3.46788835e+11, 7.367582427e+11, 0, -11445.22438, 5605.721917, 0
2, 0.0002837732003, -1.197516776e+12, -4.985563538e+11, 0, 3817.026917, -9425.394814, 0
3, 4.33474424e-05, -5.797376983e+11, 2.167077256e+12, 0, -7436.717701, -2028.056409, 0
4, 5.113210577e-05, 3.618568349e+12, -2.118303532e+12, 0, 2864.376176, 4846.379494, 0
snapshot_time: 38204.761 yr
particle_id, particle_mass, particle_pos_x, particle_pos_y, particle_pos_z, particle_vel_x, particle_vel_y, particle_vel_z
0, 0.9986739408, 562331563.7, -172123418.4, 0, 5.601482221, 7.943932115, 0
1, 0.0009478064836, -6.301861914e+11, 5.082676877e+11, 0, -8065.955306, -9966.603703, 0
2, 0.0002837732003, 8.416198657e+11, -9.889971508e+11, 0, 7759.545331, 6539.497565, 0
